Sampling date(mm/dd/yyyy)	Field	Experiment number	plot number	Ntrt	NAdd(g/m2/yr)	BurnTrt	Species Name	Species Biomass (g/m2)	Maximum plant height (cm)	Median plant height (cm)	Subplot	LastYrNtrtRec
8/4/1982	A	2	32	7	50	0	Chenopodium album	16.7	90	66	Whole	1991
8/4/1982	A	2	32	7	50	0	Polygonum convolvulus	57	-2	-2	Whole	1991
8/4/1982	A	2	32	7	50	0	Agropyron repens	187.067	81	47	Whole	1991
8/4/1982	A	2	32	7	50	0	Setaria lutescens	5.367	56	38	Whole	1991
8/4/1982	A	2	32	7	50	0	Ambrosia artemisiifolia	129.333	93	-2	Whole	1991
8/4/1982	A	2	32	7	50	0	Carex sp.	0.55	31	31	Whole	1991
8/4/1982	A	2	33	6	28	0	Setaria lutescens	66.333	83	61	Whole	1991
8/4/1982	A	2	33	6	28	0	Digitaria ischaemum	11.167	35.5	25	Whole	1991
8/4/1982	A	2	33	6	28	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	33	6	28	0	Agropyron repens	74.333	71	49	Whole	1991
8/4/1982	A	2	33	6	28	0	Berteroa incana	91.8	68.5	55	Whole	1991
8/4/1982	A	2	33	6	28	0	Chenopodium album	25.167	93	74	Whole	1991
8/4/1982	A	2	33	6	28	0	Polygonum convolvulus	7.533	-2	-2	Whole	1991
8/4/1982	A	2	33	6	28	0	Mollugo verticillata	0.603	5.5	5.5	Whole	1991
8/4/1982	A	2	33	6	28	0	Polygonum pensylvanicum	9.033	73	73	Whole	1991
8/4/1982	A	2	33	6	28	0	Ambrosia artemisiifolia	3.267	53	53	Whole	1991
8/4/1982	A	2	34	1	0	0	Chenopodium album	75.433	82	62	Whole	1991
8/4/1982	A	2	34	1	0	0	Euphorbia glyptosperma	3.1	25	15.5	Whole	1991
8/4/1982	A	2	34	1	0	0	Polygonum convolvulus	12.733	-2	-2	Whole	1991
8/4/1982	A	2	34	1	0	0	Ambrosia artemisiifolia	48.733	87	61	Whole	1991
8/4/1982	A	2	34	1	0	0	Berteroa incana	22.233	60	40	Whole	1991
